time [sec], angle [deg], angle velocity [deg/sec]
6.23005,0.0785927,0.405031,-0.00881
6.24005,0.0824933,0.375037,-0.00836132
6.25005,0.0860926,0.344791,-0.00790186
6.26005,0.0893886,0.314377,-0.00743306
6.27005,0.0923799,0.283874,-0.00695633
6.28005,0.095066,0.253364,-0.00647306
6.29005,0.0974474,0.222924,-0.00598464
6.30005,0.099525,0.192629,-0.00549243
6.31005,0.101301,0.162554,-0.00499777
6.32005,0.102777,0.132769,-0.00450198
6.33005,0.103957,0.103344,-0.00400634
6.34005,0.104845,0.0743458,-0.00351212
6.35005,0.105446,0.0458372,-0.00302054
6.36005,0.105764,0.0178797,-0.00253278
6.37005,0.105805,-0.00946848,-0.00205001
6.38005,0.105577,-0.036152,-0.00157332
6.39005,0.105085,-0.0621186,-0.0011038
6.40005,0.104337,-0.087319,-0.000642464
6.41005,0.103341,-0.111707,-0.000190298
6.42005,0.102106,-0.135239,0.000251763
6.43005,0.100639,-0.157877,0.000682825
6.44005,0.0989513,-0.179582,0.00110206
6.45005,0.0970509,-0.200322,0.00150867
6.46005,0.0949481,-0.220066,0.00190191
6.47005,0.092653,-0.238788,0.00228111
6.48005,0.0901759,-0.256464,0.00264562
6.49005,0.0875273,-0.273074,0.00299486
6.50005,0.084718,-0.288599,0.0033283
6.51005,0.081759,-0.303027,0.00364546
6.52005,0.0786612,-0.316345,0.00394592
6.53005,0.0754358,-0.328547,0.0042293
6.54005,0.072094,-0.339626,0.00449528
6.55006,0.068647,-0.349583,0.00474359
6.56006,0.0651061,-0.358416,0.00497402
6.57006,0.0614824,-0.36613,0.00518639
6.58006,0.0577872,-0.372732,0.00538059
6.59006,0.0540314,-0.378231,0.00555655
6.60006,0.0502262,-0.382639,0.00571425
